id,name,equipment,primaryMG,secondaryMG,low,med,high,extreme,createdAt,updatedAt
1,Bar Hang,Pull-Up Bar,Forearms,,30 secs,45 secs,60 secs,max,2019-07-06 00:00:00,2019-07-07 11:15:57
2,Bent Rows,"Kettle Bell, Dumbbell, Barbell",Back,Biceps,8 reps,12 reps,15 reps,20 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
3,Bent-Leg Rows (Baseblocks),Baseblocks Trainer,Back,Biceps,3 reps,5 reps,7 reps,10 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
4,Bicep Curls,"Dumbbell, Barbell",Biceps,,8 reps,10 reps,12 reps,15 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
5,Bodyweight Squats,,Legs,,20 reps,30 reps ,40 reps,50 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
6,Burpees,,Legs,Chest,8 reps,10 reps,12 reps,15 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
7,Calf Raises,,Calves,,20 reps,30 reps,40 reps,50 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
8,Chair Sit-Ups,,Abs,,25 reps,35 reps,50 reps,75 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
9,Chin-Up Static Hold,Pull-Up Bar,Biceps,,15 secs,20 secs,30 secs,45 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
10,Chin-Up Weighted Negatives,Pull-Up Bar,Biceps,,4 reps,5 reps,6 reps,8 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
11,Chin-Ups,Pull-Up Bar,Biceps,,5 reps,8 reps,12 reps,15 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
12,Clap Push-Ups,,Chest,Triceps,5 reps,8 reps,10 reps,15 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
13,Crunches,,Abs,,20 reps,30 reps,50 reps,75 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
14,Decline Push-Ups,,Chest,Triceps,10 reps,15 reps,20 reps,25 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
15,Dips,"Dip Rack, Baseblocks Trainer",Chest,Triceps,5 reps,8 reps,12 reps,15 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
16,Flutter Kicks,,Abs,,30 secs,45 secs,60 secs,75 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
17,Handstand (Wall),,Shoulders,Triceps,10 secs,20 secs,30 secs,60 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
18,Handstand Push-Up Negatives (Wall),,Shoulders,Triceps,2 reps,4 reps,6 reps,8 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
19,Handstand Push-Ups (Wall),,Shoulders,Triceps,1 reps,2 reps,3 reps,max,2019-06-02 21:12:00,2019-06-02 21:12:00
20,Hanging Knee Raises,Pull-Up Bar,Abs,,8 reps,12 reps,15 reps,20 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
21,Hip Raises,,Glutes,,30 secs,45 secs,60 secs,75 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
22,Incline Push-Ups,,Chest,Shoulders,8 reps,12 reps,15 reps,20 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
23,Kettle Bell Swings,,Glutes,Back,15 reps,25 reps,35 reps,50 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
24,Leg Lifts,,Abs,,30 secs,45 secs,60 secs,75 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
25,L-Sit Hold,"Parallettes, Dip Rack",Abs,,10 secs,15 secs,20 secs,max,2019-06-02 21:12:00,2019-06-02 21:12:00
26,Plank,,Abs,,30 secs,60 secs,90 secs,120 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
27,Plank Knee to Elbow,,Abs,,30 secs,45 secs,60 secs,90 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
28,Pull-Up Static Hold,Pull-Up Bar,Back,Biceps,15 secs,20 secs,30 secs,45 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
29,Pull-Up Weighted Negatives,Pull-Up Bar,Back,Biceps,3 reps,4 reps,5 reps,8 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
30,Pull-Ups,Pull-Up Bar,Back,Biceps,5 reps,6 reps,8 reps,10 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
31,Push-Ups,,Chest,Shoulders,15 reps,20 reps,30 reps,max,2019-06-02 21:12:00,2019-06-02 21:12:00
32,Reverse Barbell Curls,Barbell,Forearms,Biceps,6 reps,8 reps,10 reps,12 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
33,Russian Twists,,Abs,,30 secs,45 secs,60 secs,75 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
34,Seated In and Outs,,Abs,,30 secs,45 secs,60 secs,75 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
35,Seated Military Press,"Dumbbell, Barbell",Shoulders,,6 reps,8 reps,10 reps,12 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
36,Supermans,,Back,,12 reps,15 reps,18 reps,25 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
37,Triangle Push-Ups,,Triceps,Shoulders,8 reps,12 reps,15 reps,20 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
38,Tricep Push-Ups,,Triceps,,12 reps,15 reps,18 reps,25 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
39,Twisting Crunches,,Abs,,20 reps,30 reps,50 reps,80 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
40,V-Ups,,Abs,,5 reps,8 reps,12 reps,15 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
41,Wall Sit,,Legs,,30 secs,60 secs,90 secs,120 secs,2019-06-02 21:12:00,2019-06-02 21:12:00
42,Weighted Calf Raises,"Weight Vest, Dumbbell, Barbell, Kettle Bell",Legs,,20 reps,30 reps,40 reps,50 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
43,Weighted Push-Ups,Weight Vest,Chest,Shoulders,8 reps,10 reps,12 reps,max,2019-06-02 21:12:00,2019-06-02 21:12:00
44,Weighted Shoulder Shrugs,"Kettle Bell, Dumbbell, Barbell",Back,,10 reps,15 reps,20 reps,25 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
45,Weighted Squats,"Weight Vest, Barbell, Dumbbell, Kettle Bell",Legs,,10 reps,15 reps,20 reps,25 reps,2019-06-02 21:12:00,2019-06-02 21:12:00
