"id";"name";"equipment";"primaryMG";"secondaryMG";"low";"med";"high";"extreme";"createdAt";"updatedAt"
1;"Ab Wheel Plank";"Ab Wheel";"Abs";"";"20 secs";"30 secs";"45 secs";"60 secs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
2;"Bar Hang";"Pull-Up Bar";"Forearms";"";"30 secs";"45 secs";"60 secs";"90 secs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
3;"Bent Rows";"Kettle Bell, Dumbbell, Barbell";"Back";"Biceps";"8 reps";"12 reps";"15 reps";"20 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
4;"Bent-Leg Rows (Baseblocks)";"Baseblocks Trainer";"Back";"Biceps";"3 reps";"5 reps";"7 reps";"10 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
5;"Bicep Curls";"Dumbbell, Barbell";"Biceps";"";"8 reps";"10 reps";"12 reps";"15 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
6;"Bodyweight Squats";"";"Quadriceps";"";"20 reps";"30 reps ";"40 reps";"50 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
7;"Burpees";"";"Quadriceps";"Chest";"8 reps";"10 reps";"12 reps";"15 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
8;"Calf Raises";"";"Calves";"";"20 reps";"30 reps";"40 reps";"50 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
9;"Chair Sit-Ups";"";"Abs";"";"25 reps";"35 reps";"50 reps";"75 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
10;"Chin-Up Static Hold";"Pull-Up Bar";"Biceps";"";"15 secs";"20 secs";"30 secs";"45 secs";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
11;"Chin-Up Weighted Negatives";"Pull-Up Bar";"Biceps";"";"4 reps";"5 reps";"6 reps";"8 reps";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
