"id";"userId";"shoe";"buyDate";"miles";"wears";"createdAt";"updatedAt"
1;"204728CY";"UA Fat Tire 3";"01/2019";0.0;0;"2019-08-03 23:46:04";"2019-08-03 23:46:04"
2;"204728CY";"Nike Air Pegasus 34";"10/2017";0.0;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
3;"679802JC";"Altra Escalante";"12/2018";113.59;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
4;"679802JC";"Altra Superior 3.0";"12/2018";70.41;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
5;"679802JC";"Merril Trail Glove 4";"07/2019";279.66;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
6;"679802JC";"Solomon Speedcross 4";"12/2018";51.43;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
7;"679802JC";"Nike Air Pegasus 35";"02/2019";0.0;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
8;"679802JC";"Nike Air Pegasus 36";"08/2019";0.0;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
9;"940759JY";"UA Fat Tire 3";"01/2019";0.0;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
10;"940759JY";"Nike Air Pegasus 34";"01/2019";0.0;0;"2019-08-08 03:23:35";"2019-08-08 03:23:35"
14;"834292GU";"Test Shoe";"";0.0;0;"2019-08-08 17:53:49";"2019-08-08 17:53:49"
15;"679802JC";"Costco Reebok";"10/28/2019";0.0;0;"2019-11-02 20:10:36";"2019-11-02 20:10:36"
